steps,delta_training_time_ms,episode_reward
875000,15058.122873306274,5125.096179672909
880000,15055.092334747314,1118.5801224192833
885000,15102.975130081177,1534.6429773524753
890000,15072.975397109985,1403.5702189435563
895000,15255.106449127197,1389.310974037282
900000,15363.028526306152,1331.0556824853563
905000,15104.024410247803,1321.9736862239467
910000,15228.148221969604,1124.6686424356808
915000,15062.917947769165,1306.9337402591732
920000,15107.993602752686,2234.335127962764
925000,15119.033813476562,1234.4176288153244
930000,15072.02696800232,1580.9430582523698
935000,15595.089673995972,1212.662003511977
940000,15084.00297164917,1040.495123106191
945000,15097.132205963135,1632.6689166480407
950000,15084.947347640991,1334.928385056802
