steps,delta_training_time_ms,episode_reward
0,0.0,402.84552292147094
5000,20569.50092315674,880.0737910258061
10000,16668.102979660034,640.6285503498474
15000,15133.037805557251,472.10830494780623
20000,15116.029977798462,947.5391550318061
25000,15049.962282180786,3452.179609053481
30000,15042.127132415771,906.5610222457013
35000,15056.970834732056,1621.4657911385168
40000,15050.002336502075,1008.7477420321662
45000,15065.012693405151,967.5898817128839
50000,15375.12469291687,1158.251737814915
55000,15417.083501815796,1438.2601477603548
60000,15117.985725402832,853.6983079919161
65000,15309.02099609375,819.5890627812995
70000,15319.86665725708,834.2740945488607
75000,15177.048444747925,662.6566442146839
80000,15206.053018569946,1470.6657345370575
85000,15199.162483215332,1013.2692440432361
90000,15302.084684371948,933.6554512599553
95000,15275.325059890747,1106.0070163749306
100000,15126.05357170105,860.8628012404395
105000,15370.051145553589,822.581422059167
110000,15301.053524017334,1027.5567217142986
115000,15135.092973709106,942.9782407096326
120000,15183.98642539978,976.8896254134999
125000,15147.091388702393,966.2114919340746
130000,15185.237169265747,862.0045387813285
135000,15368.056774139404,941.300326900209
140000,15173.256635665894,746.2491923078604
145000,15160.09259223938,1589.040581049427
150000,15303.107976913452,413.91296713097177
155000,15307.981491088867,977.432301752113
160000,15279.240846633911,572.5407551098441
165000,15238.048076629639,890.726773668768
170000,15248.125791549683,646.0963893920863
175000,15341.98808670044,927.2945916274194
180000,15334.068298339844,378.5144295539139
185000,15241.119146347046,760.6091081954593
190000,15286.152124404907,521.2295148333833
195000,15249.072313308716,338.4094121344293
200000,15332.013607025146,305.787321616645
205000,15442.91615486145,298.2187515494756
210000,15392.186164855957,293.71071112843407
215000,15303.12204360962,244.1193522999792
220000,15603.2133102417,309.25627743583186
225000,15469.082117080688,308.35895982105814
230000,15337.071418762207,346.2913739660636
235000,15285.199165344238,310.6411409173062
240000,15305.015802383423,364.2129644792233
245000,15426.989793777466,287.83938344031816
250000,15368.14570426941,265.81597772368286
255000,15339.138746261597,324.8593339238941
260000,15312.12854385376,324.90834635866673
265000,15346.04811668396,306.7909513246274
270000,15305.067539215088,315.01833250525624
275000,15389.063596725464,308.10999249706776
280000,15397.927522659302,282.4344157718753
285000,15404.985189437866,287.8025406680966
290000,15469.93637084961,242.71885033265588
295000,15591.020107269287,250.8379604011312
300000,15310.962438583374,307.52637436221045
305000,15458.064556121826,296.11766480923905
310000,15426.995992660522,320.51630249721075
315000,15417.952299118042,312.78420997884785
320000,15406.010866165161,300.2374598447251
325000,15390.990734100342,284.36341161584113
330000,15293.92957687378,249.76804342004323
335000,15506.051301956177,355.3962846969999
340000,15455.106973648071,320.5070144777147
345000,15495.00823020935,304.16335985693945
350000,15362.250566482544,285.21448183688733
355000,15572.07465171814,292.9169842517545
360000,15302.078008651733,346.54906373172463
365000,15320.041179656982,546.6511984793129
370000,15285.014152526855,258.51900671858635
375000,15373.080253601074,234.49913337294896
380000,15301.947593688965,320.4486871939395
385000,15418.935298919678,303.00253516540766
390000,15394.054889678955,254.67271475888117
395000,15413.184404373169,304.4106191385787
400000,15593.849897384644,226.02325984241466
405000,15541.924715042114,681.4413554395462
410000,15434.977293014526,314.59058698723885
415000,15437.134981155396,213.7730480104972
420000,15253.201246261597,350.8020906295314
425000,15387.95018196106,308.9658972069561
430000,15437.049388885498,886.7305127447216
435000,15437.105178833008,354.5067334680304
440000,15307.234525680542,1144.851995769529
445000,15336.998462677002,273.0239701695242
450000,15325.00147819519,813.8948761794251
455000,15331.109762191772,319.63647229808345
460000,15386.126518249512,306.4839266755921
465000,15384.108781814575,284.4013890373626
470000,15526.07274055481,408.5296806193395
475000,15570.14012336731,352.7031904978168
480000,15764.100074768066,326.3760005456052
485000,15437.024116516113,336.7644230600473
490000,15389.127969741821,301.283270696735
495000,15641.096115112305,387.3356356071587
500000,15402.050495147705,370.92242760778754
505000,15280.066013336182,750.2289530823472
510000,15327.115058898926,732.0254245611608
515000,15479.01725769043,354.6193079177828
520000,15527.218580245972,213.74985723137763
525000,15553.01809310913,284.70427281888556
530000,15567.028045654297,214.06089440356408
535000,15342.005968093872,272.8965717657351
540000,15495.054483413696,264.46227041778286
545000,15931.403636932373,310.3371583556761
550000,15483.973264694214,285.0895596966738
555000,15325.04653930664,266.646745243744
560000,15405.04264831543,285.91240426765273
565000,15511.077404022217,201.23365096355704
570000,15461.08078956604,295.457431165871
575000,15428.112983703613,255.82329329729495
580000,15541.975021362305,205.5705401344478
585000,15728.121519088745,207.0582179836621
590000,15526.058197021484,281.8898316048342
595000,15529.090166091919,194.94175164230356
600000,15588.98115158081,266.4919229198533
605000,15382.07721710205,287.3614528271653
610000,15372.038841247559,279.0948552047272
615000,15448.107957839966,262.58579700240307
620000,15348.07538986206,243.8798894109481
625000,15426.066398620605,195.96923797037462
630000,15469.006776809692,269.58959539028535
635000,15349.984645843506,226.98779197318441
640000,15318.054676055908,229.53961708779485
645000,15382.134914398193,277.20046726802013
650000,15370.01919746399,228.35978071037016
655000,15523.89121055603,220.27837251398572
660000,15489.839553833008,271.73515868891434
665000,15524.046897888184,198.17250059710005
670000,15822.978019714355,269.61472501297163
675000,15375.994443893433,254.7757149326233
680000,15488.14845085144,226.04778905598627
685000,15364.02940750122,185.93798781663932
690000,15379.006147384644,245.68779705363772
695000,15381.912231445312,264.0651205246738
