steps,delta_training_time_ms,episode_reward
0,0.0,528.810692034082
5000,19924.689054489136,442.99851531217536
10000,15183.92562866211,7501.678318588528
15000,15133.934736251831,473.90725706649704
20000,15623.136758804321,1166.4947772756016
25000,15637.947797775269,639.5195253959965
30000,15313.914775848389,1027.463372013359
35000,15303.015947341919,11832.569732175923
40000,15056.08081817627,65944.87694787886
45000,15118.997812271118,1512.1619195773958
50000,15066.039323806763,53606.58253126352
55000,15073.1360912323,1840.7829880811194
60000,15041.104793548584,874.4482599343822
65000,15045.980453491211,1242.7171357890525
70000,15356.091022491455,1441.537625446009
75000,15544.148921966553,1530.2991480953654
80000,15594.21706199646,1382.1133378779134
85000,15334.156274795532,1102.3756086586916
90000,15208.026885986328,1149.730591499828
95000,16105.157852172852,1675.5288354357062
100000,16360.14461517334,1522.6017400247422
105000,15744.040250778198,1056.9546089404762
110000,16525.02155303955,9381.893140421651
115000,15106.968402862549,1008.8807379071819
120000,15087.058305740356,1731.7768464870376
125000,15486.17672920227,1003.5355744357302
130000,15520.138502120972,1141.0428432755562
135000,15609.236001968384,985.8353664722036
140000,16072.985172271729,1601.3821263335678
145000,15846.117496490479,1141.3304068018929
150000,16195.202350616455,1275.7305406809608
155000,16071.84886932373,1193.8778887926928
160000,15814.017295837402,1209.4324462962925
165000,15781.055927276611,1477.349764456553
170000,16077.118396759033,1324.2065081143116
175000,15613.848447799683,1512.415362996347
180000,16456.01534843445,1234.0521355723947
185000,15950.016736984253,1119.1583718206296
190000,15739.034652709961,1274.7746949244756
195000,15655.85732460022,1764.4129820573305
200000,15512.057781219482,2928.7656725763427
205000,15117.90680885315,1506.694504782912
210000,15495.15986442566,1249.1294247066776
215000,15518.15414428711,1011.611096250498
220000,15758.134603500366,1726.3829039358927
225000,15159.908056259155,762.4764363485506
230000,15673.158884048462,1459.6055064450786
235000,15665.029287338257,1193.264185195495
240000,16276.992082595825,2277.471456145558
245000,15071.03180885315,14133.087215000993
250000,15052.10542678833,1172.7067489582619
255000,15139.098644256592,1216.5346039411215
260000,16109.360456466675,1150.016689947911
265000,16875.084161758423,1004.2895944713883
270000,16344.026327133179,1267.4644118730553
275000,15334.08260345459,1172.332661361315
280000,15500.04243850708,1004.6364385193044
285000,15579.122066497803,1601.8734243884942
290000,15350.052118301392,1385.9721675815756
295000,16302.096128463745,1271.9444910237346
300000,17557.968139648438,1082.3712656268567
305000,15408.12063217163,1130.659360370757
310000,15904.050588607788,1066.7907867654908
315000,16453.032970428467,1127.2290700570497
320000,16038.013219833374,1614.0187528875424
325000,16184.091091156006,1040.4986496859594
330000,15999.109268188477,969.810260129591
335000,15774.072408676147,903.83769470221
340000,15284.019470214844,1062.03017654073
345000,15259.99140739441,997.7387884524909
350000,15383.07809829712,1199.7195916504988
355000,15652.174472808838,919.5490278673836
360000,16880.12933731079,1171.3582064544228
365000,18061.355352401733,795.7958902099491
370000,15910.949230194092,2792.0955298980084
375000,15499.052047729492,980.9947711194162
380000,15408.305883407593,1043.681366121973
385000,15303.165912628174,773.7491898626047
390000,15519.129991531372,1294.061828386522
395000,15333.970546722412,1014.9921315171345
400000,15372.14207649231,1111.2710369415843
405000,15402.039527893066,1228.757489707718
410000,15551.230192184448,941.1562210052165
415000,15294.175148010254,1650.0616255672105
420000,15262.086868286133,958.0727558388515
425000,15502.079486846924,1153.8841254823928
430000,15241.08338356018,1505.265719025901
435000,15396.016120910645,1212.2320598170588
440000,15440.134525299072,1333.7628483371554
445000,15390.095472335815,1209.698969996366
450000,15423.056840896606,1472.7538334475562
455000,15326.97057723999,1524.8207372341171
460000,15808.127880096436,1648.3343432434262
465000,15290.120601654053,3731.610046668449
470000,15517.077922821045,990.8346295114331
475000,15725.075960159302,1009.0594230366623
480000,15361.095190048218,2552.442708046788
485000,15379.053354263306,1611.2451201186573
490000,15205.146312713623,4150.423605417831
495000,15186.079263687134,1254.084356911643
500000,15205.125570297241,1609.8842592038318
505000,15475.13461112976,1403.634446707825
510000,16061.112403869629,1649.8019520724783
515000,16003.058671951294,2308.375956715854
520000,15423.05302619934,1169.191726932722
525000,15308.0575466156,977.6102214145264
530000,15384.984731674194,1234.9385614229984
535000,15463.11616897583,1452.5523921589693
540000,15336.040496826172,1649.223609340005
545000,15221.05860710144,1714.6016096077753
550000,15465.082168579102,1355.3481502557747
555000,15330.061674118042,1778.6256638750433
560000,15387.004375457764,1586.6398672279752
565000,15727.22315788269,4105.746386483978
570000,15859.126567840576,1875.59502542891
575000,15971.202611923218,1632.7563043620871
580000,15526.089668273926,1200.937625618834
585000,15390.974760055542,2109.887593118295
590000,15563.259601593018,1476.8052804686783
595000,15509.983777999878,1872.9786471685593
600000,15276.23176574707,1430.7713850233554
605000,15406.046867370605,1843.1544643091102
610000,15422.079801559448,1300.308111773023
615000,15224.125862121582,1657.1637525251253
620000,15405.152320861816,1821.8888094688082
625000,15312.151193618774,1201.004419556337
630000,15167.17267036438,1454.4793885959623
635000,15358.043670654297,2551.562733851865
640000,15451.124906539917,3305.6767937846294
645000,15319.955587387085,2161.6333999504345
650000,15180.083513259888,1879.519213297781
655000,15320.069789886475,2748.3469224112173
660000,15278.026342391968,3072.064148851454
665000,15360.153198242188,2038.2539197049257
670000,15159.159898757935,1869.084474584155
675000,15368.143796920776,1989.1606885895842
680000,15196.030378341675,1041.42662590803
685000,15210.980653762817,1896.4000951511998
690000,15268.14866065979,2187.5275113045554
695000,15098.068714141846,1710.6461537735206
700000,15224.170684814453,1285.3898641246014
705000,15381.125211715698,1814.4175262232761
710000,15385.19549369812,3909.668060855242
715000,15388.080358505249,1726.739306648686
720000,15185.13298034668,2003.2950919373925
725000,15463.066101074219,1146.2672906982411
730000,15157.028913497925,1827.235424387649
735000,15363.148927688599,1065.1613348315657
740000,15223.12593460083,1104.679228035313
745000,15300.067663192749,1312.74365379759
750000,15987.269401550293,1879.474791384059
755000,16555.095672607422,2075.1419273415854
760000,15274.041414260864,1133.2312230804973
765000,15231.036901473999,1079.8112786859415
770000,15249.974727630615,1596.1549097292698
775000,15263.235807418823,1151.9238325565932
780000,15121.064186096191,1617.023655564931
785000,15203.04250717163,1932.3630825256807
790000,15342.053174972534,1792.191382575738
795000,15280.08484840393,1413.366941910007
800000,15231.164693832397,966.7847903481196
805000,15298.158645629883,1242.4389388250543
810000,15525.104522705078,1418.94914053177
815000,15504.071474075317,1609.2462351244335
820000,15274.038791656494,988.4587116104184
825000,15395.25055885315,1214.507169010349
830000,15809.07154083252,1002.1482259693057
835000,15404.000759124756,1007.1258790873255
840000,15874.176502227783,1566.2964332999964
845000,15228.919744491577,1212.5756131999144
850000,15360.144138336182,1183.792108809077
855000,15505.00226020813,851.5256749885011
860000,15129.068374633789,911.5174042888865
865000,15211.013078689575,1479.585048927542
870000,15292.295932769775,1407.6962193934255
875000,15630.058765411377,1286.9692696847337
880000,15270.90072631836,959.0813258757378
885000,15699.17368888855,1101.7649663291525
890000,15200.13952255249,1129.259750660001
895000,15183.11619758606,1618.365985697838
900000,15433.135032653809,1223.7113069051436
905000,15277.127504348755,1094.6380648019517
910000,15219.119310379028,1689.6089372416304
915000,15256.08777999878,1115.0366417838634
920000,15212.047100067139,1448.75184632114
925000,15436.113119125366,1156.4316333263218
930000,15208.013534545898,1231.551822514918
935000,15249.104022979736,1241.1675176234478
940000,15180.984497070312,1411.2923167878778
945000,15388.07725906372,966.7918598486006
950000,15142.006635665894,1389.454096990668
955000,15432.096004486084,1400.1340705449572
960000,15188.079833984375,1320.00198821278
965000,15259.077548980713,1080.8044343150584
970000,15561.070203781128,1581.0041231704352
975000,15542.125701904297,1460.2586416766724
980000,15159.993410110474,1154.3703328561407
985000,15170.004606246948,1542.9722649605715
990000,15237.064123153687,1101.910145136358
995000,15196.147441864014,1489.881399908836
1000000,15279.00242805481,1502.9819702203667
1005000,15129.068851470947,1328.2905827339425
1010000,15520.154237747192,1412.3610334963676
1015000,15250.178098678589,1273.4959159704006
1020000,15228.075504302979,1073.7374263016607
1025000,15258.03542137146,1576.9228000843107
1030000,15284.08145904541,1503.802383223329
1035000,15134.193420410156,1222.3059957807654
1040000,15264.106512069702,1180.6716946193471
1045000,15265.195846557617,1221.0695885965215
1050000,15686.102390289307,1831.0406053462748
1055000,15194.04935836792,1390.8936245110635
1060000,15240.997552871704,1528.325506644882
1065000,15406.12506866455,1439.501514201153
1070000,15215.174674987793,1244.4866914437487
1075000,15362.059593200684,1905.3035845054997
1080000,15198.10438156128,1455.1229659882151
1085000,15285.024404525757,1360.9707024805557
1090000,15281.147956848145,1637.6921370138352
1095000,15201.0178565979,1262.1587964177338
1100000,15357.076168060303,1423.3521556367093
1105000,15313.143253326416,1110.2613709892034
1110000,15230.152368545532,1270.6362188547582
1115000,15151.090621948242,901.0674709082905
1120000,15151.11780166626,943.7038037994265
1125000,15272.99165725708,1088.7599485896674
1130000,15243.093252182007,1372.3742094719275
1135000,15430.091619491577,713.8063375199142
1140000,15402.03833580017,963.8731136959461
1145000,15399.215698242188,1112.636861659526
1150000,15230.031728744507,1282.1459581888073
1155000,15320.065021514893,1207.8879817517977
1160000,15202.036142349243,1189.5429731882707
1165000,15188.112020492554,919.7126162835995
1170000,15237.118244171143,1511.6633108682202
1175000,15518.165588378906,2001.5162475200932
1180000,15578.0930519104,998.7043345708335
1185000,15296.968221664429,948.0573223176651
1190000,15371.095657348633,1156.7830393786733
1195000,15751.27649307251,1149.706485847292
1200000,15406.216382980347,1238.0413340279144
1205000,15271.149158477783,1171.912954279039
1210000,15687.361717224121,1030.6404862809547
1215000,15430.087566375732,1108.672933108066
1220000,15354.21347618103,735.1898723814828
1225000,15290.934562683105,593.7733871790803
1230000,15299.927711486816,642.6892454767903
1235000,15310.216188430786,723.7557239659951
1240000,15252.960205078125,1125.3330547267828
1245000,15240.019083023071,1012.0787449161223
1250000,15152.112483978271,668.7553273393734
1255000,15242.985963821411,1022.0210784789323
1260000,15282.16004371643,1158.6953117364963
1265000,15577.998876571655,1225.4841600149905
1270000,15213.118076324463,1291.5385873852913
1275000,15303.038597106934,1114.7405785845556
1280000,15575.159788131714,1063.864386084822
1285000,15265.078067779541,775.9840224097092
1290000,15232.068300247192,1140.5015417120317
1295000,15409.05785560608,927.2825380597494
1300000,15204.006671905518,1003.9018651702199
1305000,15267.05002784729,1271.2200709382873
1310000,15184.938907623291,1098.1383244174262
1315000,15147.93348312378,833.6536172965683
1320000,15530.035018920898,1135.982599199095
1325000,15310.90760231018,1192.7443935524886
1330000,15288.034200668335,1391.9053197059116
1335000,15484.947681427002,2222.3063156960743
1340000,15271.055936813354,1138.69325788386
1345000,15359.196901321411,837.7708517029271
1350000,15384.068250656128,1339.6484102670152
1355000,15369.146347045898,1008.5140533342915
1360000,15193.071842193604,858.9294882636356
1365000,15165.162801742554,1128.4352395171181
